Frequency,Channel A,Channel B
(ms),(V),(V)

13.31999966,-0.26790110,-0.39523870
13.33999966,-0.25999630,-0.39523870
13.35999966,-0.25999630,-0.39523870
13.37999966,-0.25212230,-0.31619100
13.39999966,-0.24424830,-0.31619100
13.41999966,-0.23637430,-0.31619100
13.43999966,-0.23637430,-0.23714320
13.45999966,-0.22850020,-0.23714320
13.47999966,-0.22850020,-0.23714320
13.49999966,-0.21272150,-0.23714320
13.51999966,-0.20484740,-0.15809550
13.53999966,-0.19697340,-0.15809550
13.55999966,-0.19697340,-0.15809550
13.57999966,-0.18909940,-0.07904774
13.59999966,-0.18122540,-0.07904774
13.61999966,-0.17332060,-0.07904774
13.63999966,-0.16544660,-0.07904774
13.65999965,-0.15757260,-0.07904774
13.67999965,-0.14969860,0.00000000
13.69999965,-0.14182460,0.07904774
13.71999965,-0.13395050,0.00000000
13.73999965,-0.12604580,0.07904774
13.75999965,-0.11029770,0.07904774
13.77999965,-0.10242370,0.15809550
13.79999965,-0.10242370,0.15809550
13.81999965,-0.08664493,0.15809550
13.83999965,-0.07877092,0.15809550
13.85999965,-0.07089690,0.23714320
13.87999965,-0.06302288,0.23714320
13.89999965,-0.04727485,0.23714320
13.91999965,-0.03937008,0.23714320
13.93999965,-0.03149606,0.31619100
13.95999965,-0.02362205,0.31619100
13.97999965,-0.00787402,0.39523870
13.99999965,0.00000000,0.39523870
14.01999965,0.01574803,0.39523870
14.03999965,0.02362205,0.39523870
14.05999964,0.03149606,0.47428640
14.07999964,0.03937008,0.47428640
14.09999964,0.05514887,0.47428640
14.11999964,0.06302288,0.47428640
14.13999964,0.07877092,0.55333420
14.15999964,0.08664493,0.55333420
14.17999964,0.10242370,0.55333420
14.19999964,0.11817180,0.55333420
14.21999964,0.12604580,0.55333420
14.23999964,0.14182460,0.55333420
